Player,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
Larry Bird,1989-90,33,BOS,NBA,SF,75,75,2944,718,1517,0.473,65,195,0.333,653,1322,0.494,0.495,319,343,0.93,90,622,712,562,106,61,243,173,1820,10,"MVP-10,AS,NBA2"
Larry Bird,1990-91,34,BOS,NBA,SF,60,60,2277,462,1017,0.454,77,198,0.389,385,819,0.47,0.492,163,183,0.891,53,456,509,431,108,58,187,118,1164,3,"MVP-9,AS"
Larry Bird,1991-92,35,BOS,NBA,SF,45,45,1662,353,758,0.466,52,128,0.406,301,630,0.478,0.5,150,162,0.926,46,388,434,306,42,33,125,82,908,1,"MVP-14,AS"
Magic Johnson,1979-80,20,LAL,NBA,SG,77,,2795,503,949,0.53,7,31,0.226,496,918,0.54,0.534,374,462,0.81,166,430,596,563,187,41,305,218,1387,7,"ROY-2,AS"
Magic Johnson,1980-81,21,LAL,NBA,SG,37,,1371,312,587,0.532,3,17,0.176,309,570,0.542,0.534,171,225,0.76,101,219,320,317,127,27,143,100,798,6,MVP-11
Magic Johnson,1981-82,22,LAL,NBA,SG,78,77,2991,556,1036,0.537,6,29,0.207,550,1007,0.546,0.54,329,433,0.76,252,499,751,743,208,34,286,223,1447,18,"MVP-8,AS,NBA2"
Magic Johnson,1982-83,23,LAL,NBA,SG,79,79,2907,511,933,0.548,0,21,0,511,912,0.56,0.548,304,380,0.8,214,469,683,829,176,47,301,200,1326,16,"MVP-3,AS,NBA1"
Magic Johnson,1983-84,24,LAL,NBA,PG,67,66,2567,441,780,0.565,6,29,0.207,435,751,0.579,0.569,290,358,0.81,99,392,491,875,150,49,306,169,1178,12,"MVP-3,DPOY-12,AS,NBA1"
Magic Johnson,1984-85,25,LAL,NBA,PG,77,77,2781,504,899,0.561,7,37,0.189,497,862,0.577,0.565,391,464,0.843,90,386,476,968,113,25,305,155,1406,11,"MVP-2,AS,NBA1"
Magic Johnson,1985-86,26,LAL,NBA,PG,72,70,2578,483,918,0.526,10,43,0.233,473,875,0.541,0.532,378,434,0.871,85,341,426,907,113,16,273,133,1354,3,"MVP-3,AS,NBA1"
Magic Johnson,1986-87,27,LAL,NBA,PG,80,80,2904,683,1308,0.522,8,39,0.205,675,1269,0.532,0.525,535,631,0.848,122,382,504,977,138,36,300,168,1909,11,"MVP-1,AS,NBA1"
Magic Johnson,1987-88,28,LAL,NBA,PG,72,70,2637,490,996,0.492,11,56,0.196,479,940,0.51,0.497,417,489,0.853,88,361,449,858,114,13,269,147,1408,12,"MVP-3,AS,NBA1"
Magic Johnson,1988-89,29,LAL,NBA,PG,77,77,2886,579,1137,0.509,59,188,0.314,520,949,0.548,0.535,513,563,0.911,111,496,607,988,138,22,312,172,1730,17,"MVP-1,AS,NBA1"
Magic Johnson,1989-90,30,LAL,NBA,PG,79,79,2937,546,1138,0.48,106,276,0.384,440,862,0.51,0.526,567,637,0.89,128,394,522,907,132,34,289,167,1765,11,"MVP-1,AS,NBA1"
Magic Johnson,1990-91,31,LAL,NBA,PG,79,79,2933,466,976,0.477,80,250,0.32,386,726,0.532,0.518,519,573,0.906,105,446,551,989,102,17,314,150,1531,13,"MVP-2,AS,NBA1"
James Harden,2009-10,20,OKC,NBA,SG,76,0,1738,233,578,0.403,93,248,0.375,140,330,0.424,0.484,194,240,0.808,47,197,244,137,80,20,106,200,753,0,
James Harden,2010-11,21,OKC,NBA,SG,82,5,2189,298,684,0.436,113,324,0.349,185,360,0.514,0.518,289,343,0.843,42,213,255,176,92,24,106,207,998,0,6MOY-7
James Harden,2011-12,22,OKC,NBA,SG,62,2,1946,309,629,0.491,114,292,0.39,195,337,0.579,0.582,312,369,0.846,30,222,252,229,62,15,137,150,1044,0,6MOY-1
James Harden,2012-13,23,HOU,NBA,SG,78,78,2985,585,1337,0.438,179,486,0.368,406,851,0.477,0.504,674,792,0.851,62,317,379,455,142,38,295,178,2023,1,"MVP-8,AS,NBA3"
James Harden,2013-14,24,HOU,NBA,SG,73,73,2777,549,1205,0.456,177,483,0.366,372,722,0.515,0.529,576,665,0.866,61,283,344,446,115,29,265,177,1851,1,"MVP-5,AS,NBA1"
James Harden,2014-15,25,HOU,NBA,SG,81,81,2981,647,1470,0.44,208,555,0.375,439,915,0.48,0.511,715,824,0.868,75,384,459,565,154,60,321,208,2217,4,"MVP-2,AS,NBA1"
James Harden,2015-16,26,HOU,NBA,SG,82,82,3125,710,1617,0.439,236,657,0.359,474,960,0.494,0.512,720,837,0.86,63,438,501,612,139,51,374,229,2376,3,"MVP-9,AS"
James Harden,2016-17,27,HOU,NBA,PG,81,81,2947,674,1533,0.44,262,756,0.347,412,777,0.53,0.525,746,881,0.847,95,564,659,907,121,38,464,215,2356,22,"MVP-2,AS,NBA1"
James Harden,2017-18,28,HOU,NBA,SG,72,72,2551,651,1449,0.449,265,722,0.367,386,727,0.531,0.541,624,727,0.858,41,348,389,630,126,50,315,169,2191,4,"MVP-1,AS,NBA1"
James Harden,2018-19,29,HOU,NBA,PG,78,78,2867,843,1909,0.442,378,1028,0.368,465,881,0.528,0.541,754,858,0.879,66,452,518,586,158,58,387,244,2818,7,"MVP-2,AS,NBA1"
James Harden,2019-20,30,HOU,NBA,SG,68,68,2483,672,1514,0.444,299,843,0.355,373,671,0.556,0.543,692,800,0.865,70,376,446,512,125,60,308,227,2335,4,"MVP-3,AS,NBA1"
James Harden,2020-21,31,2TM,NBA,PG,44,43,1609,342,734,0.466,121,334,0.362,221,400,0.553,0.548,278,323,0.861,35,313,348,475,53,33,177,99,1083,12,"MVP-13,AS"
James Harden,2020-21,31,HOU,NBA,PG,8,8,290,60,135,0.444,25,72,0.347,35,63,0.556,0.537,53,60,0.883,5,36,41,83,7,6,34,14,198,0,
James Harden,2020-21,31,BRK,NBA,PG,36,35,1319,282,599,0.471,96,262,0.366,186,337,0.552,0.551,225,263,0.856,30,277,307,392,46,27,143,85,885,12,
James Harden,2021-22,32,2TM,NBA,PG,65,65,2419,407,992,0.41,148,448,0.33,259,544,0.476,0.485,470,536,0.877,55,445,500,667,82,36,284,153,1432,11,AS
James Harden,2021-22,32,BRK,NBA,PG,44,44,1627,292,706,0.414,102,307,0.332,190,399,0.476,0.486,304,350,0.869,42,309,351,447,56,31,212,105,990,9,
James Harden,2021-22,32,PHI,NBA,PG,21,21,792,115,286,0.402,46,141,0.326,69,145,0.476,0.483,166,186,0.892,13,136,149,220,26,5,72,48,442,2,
James Harden,2022-23,33,PHI,NBA,PG,58,58,2135,371,842,0.441,161,418,0.385,210,424,0.495,0.536,313,361,0.867,40,314,354,618,71,31,195,112,1216,5,
James Harden,2023-24,34,LAC,NBA,PG,72,72,2470,352,822,0.428,186,488,0.381,166,334,0.497,0.541,302,344,0.878,34,335,369,614,77,57,185,127,1192,3,
James Harden,2024-25,35,LAC,NBA,PG,79,79,2789,531,1295,0.41,235,668,0.352,296,627,0.472,0.501,505,578,0.874,55,401,456,687,118,55,341,162,1802,3,"MVP-10,AS,NBA3"
James Harden,2025-26,36,2TM,NBA,PG,66,66,2308,460,1059,0.434,201,540,0.372,259,519,0.499,0.529,443,503,0.881,39,286,325,536,74,27,232,130,1564,2,
James Harden,2025-26,36,LAC,NBA,PG,44,44,1559,323,771,0.419,135,389,0.347,188,382,0.492,0.506,337,374,0.901,27,185,212,358,57,16,162,83,1118,2,
James Harden,2025-26,36,CLE,NBA,PG,22,22,749,137,288,0.476,66,151,0.437,71,137,0.518,0.59,106,129,0.822,12,101,113,178,17,11,70,47,446,0,
Steph Curry,2009-10,21,GSW,NBA,PG,80,77,2896,528,1143,0.462,166,380,0.437,362,763,0.474,0.535,177,200,0.885,48,308,356,472,152,19,243,252,1399,1,ROY-2
Steph Curry,2010-11,22,GSW,NBA,PG,74,74,2489,505,1053,0.48,151,342,0.442,354,711,0.498,0.551,212,227,0.934,52,234,286,432,109,20,226,233,1373,0,
Steph Curry,2011-12,23,GSW,NBA,PG,26,23,732,145,296,0.49,55,121,0.455,90,175,0.514,0.583,38,47,0.809,15,73,88,138,39,8,65,62,383,0,
Steph Curry,2012-13,24,GSW,NBA,PG,78,78,2983,626,1388,0.451,272,600,0.453,354,788,0.449,0.549,262,291,0.9,59,255,314,539,126,12,240,198,1786,0,MVP-11
Steph Curry,2013-14,25,GSW,NBA,PG,78,78,2846,652,1383,0.471,261,615,0.424,391,768,0.509,0.566,308,348,0.885,46,288,334,666,128,14,294,194,1873,4,"MVP-6,AS,NBA2"
Steph Curry,2014-15,26,GSW,NBA,PG,80,80,2613,653,1341,0.487,286,646,0.443,367,695,0.528,0.594,308,337,0.914,56,285,341,619,163,16,249,158,1900,0,"MVP-1,AS,NBA1"
Steph Curry,2015-16,27,GSW,NBA,PG,79,79,2700,805,1598,0.504,402,886,0.454,403,712,0.566,0.63,363,400,0.908,68,362,430,527,169,15,262,161,2375,2,"MVP-1,AS,NBA1"
Steph Curry,2016-17,28,GSW,NBA,PG,79,79,2638,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,524,142,17,239,183,1999,0,"MVP-6,AS,NBA2"
Steph Curry,2017-18,29,GSW,NBA,PG,51,51,1631,428,864,0.495,212,501,0.423,216,363,0.595,0.618,278,302,0.921,36,225,261,310,80,8,153,114,1346,0,"MVP-10,AS,NBA3"
Steph Curry,2018-19,30,GSW,NBA,PG,69,69,2331,632,1340,0.472,354,810,0.437,278,530,0.525,0.604,263,287,0.916,45,324,369,361,92,25,192,166,1881,0,"MVP-5,AS,NBA1"
Steph Curry,2019-20,31,GSW,NBA,PG,5,5,139,33,82,0.402,12,49,0.245,21,33,0.636,0.476,26,26,1,4,22,26,33,5,2,16,11,104,0,
Steph Curry,2020-21,32,GSW,NBA,PG,63,63,2152,658,1365,0.482,337,801,0.421,321,564,0.569,0.605,362,395,0.916,29,316,345,363,77,8,213,119,2015,0,"MVP-3,AS,NBA1"
Steph Curry,2021-22,33,GSW,NBA,PG,64,64,2211,535,1224,0.437,285,750,0.38,250,474,0.527,0.554,275,298,0.923,34,301,335,404,85,23,206,130,1630,2,"MVP-8,AS,NBA2"
Steph Curry,2022-23,34,GSW,NBA,PG,56,56,1941,559,1133,0.493,273,639,0.427,286,494,0.579,0.614,257,281,0.915,39,302,341,352,52,20,179,117,1648,1,"MVP-9,CPOY-9,AS,NBA2"
Steph Curry,2023-24,35,GSW,NBA,PG,74,74,2421,650,1445,0.45,357,876,0.408,293,569,0.515,0.573,299,324,0.923,37,293,330,379,54,28,210,117,1956,0,"CPOY-1,AS,NBA3"
Steph Curry,2024-25,36,GSW,NBA,PG,70,70,2252,564,1258,0.448,311,784,0.397,253,474,0.534,0.572,279,299,0.933,40,270,310,421,80,30,200,95,1718,0,"MVP-9,CPOY-5,AS,NBA2"
Steph Curry,2025-26,37,GSW,NBA,PG,39,39,1222,348,744,0.468,175,448,0.391,173,296,0.584,0.585,190,204,0.931,16,122,138,189,44,16,111,74,1061,0,AS
Blake Griffin,2010-11,21,LAC,NBA,PF,82,82,3112,696,1376,0.506,7,24,0.292,689,1352,0.51,0.508,446,695,0.642,270,719,989,312,63,45,223,252,1845,2,"MVP-10,ROY-1,AS"
Blake Griffin,2011-12,22,LAC,NBA,PF,66,66,2392,561,1022,0.549,2,16,0.125,559,1006,0.556,0.55,244,468,0.521,218,499,717,210,54,48,150,216,1368,0,"AS,NBA2"
Blake Griffin,2012-13,23,LAC,NBA,PF,80,80,2598,577,1072,0.538,5,28,0.179,572,1044,0.548,0.541,281,426,0.66,186,476,662,299,97,50,185,231,1440,1,"AS,NBA2"
Blake Griffin,2013-14,24,LAC,NBA,PF,80,80,2863,718,1359,0.528,12,44,0.273,706,1315,0.537,0.533,482,674,0.715,192,565,757,309,92,51,224,265,1930,1,"MVP-3,AS,NBA2"
Blake Griffin,2014-15,25,LAC,NBA,PF,67,67,2356,574,1144,0.502,10,25,0.4,564,1119,0.504,0.506,311,427,0.728,126,382,508,354,63,35,152,196,1469,0,"MVP-8,AS,NBA3"
Blake Griffin,2015-16,26,LAC,NBA,PF,35,35,1170,301,603,0.499,6,18,0.333,295,585,0.504,0.504,141,194,0.727,51,243,294,170,28,17,83,95,749,0,
Blake Griffin,2016-17,27,LAC,NBA,PF,61,61,2076,479,971,0.493,38,113,0.336,441,858,0.514,0.513,320,421,0.76,112,385,497,300,57,22,142,157,1316,1,
Blake Griffin,2017-18,28,2TM,NBA,PF,58,58,1970,436,996,0.438,111,322,0.345,325,674,0.482,0.493,259,330,0.785,73,355,428,334,41,18,165,139,1242,3,
Blake Griffin,2017-18,28,LAC,NBA,PF,33,33,1139,255,578,0.441,64,187,0.342,191,391,0.488,0.497,172,219,0.785,46,216,262,179,30,9,99,78,746,2,
Blake Griffin,2017-18,28,DET,NBA,PF,25,25,831,181,418,0.433,47,135,0.348,134,283,0.473,0.489,87,111,0.784,27,139,166,155,11,9,66,61,496,1,
Blake Griffin,2018-19,29,DET,NBA,PF,75,75,2622,619,1341,0.462,189,522,0.362,430,819,0.525,0.532,414,550,0.753,100,465,565,402,52,28,253,199,1841,2,"AS,NBA3"
Blake Griffin,2019-20,30,DET,NBA,PF,18,18,512,88,250,0.352,27,111,0.243,61,139,0.439,0.406,76,98,0.776,17,67,84,59,7,7,40,27,279,0,
Blake Griffin,2020-21,31,2TM,NBA,PF,46,30,1186,174,411,0.423,70,205,0.341,104,206,0.505,0.509,87,117,0.744,35,190,225,140,32,15,62,111,505,0,
Blake Griffin,2020-21,31,DET,NBA,PF,20,20,626,81,222,0.365,39,124,0.315,42,98,0.429,0.453,44,62,0.71,7,97,104,77,14,2,32,42,245,0,
Blake Griffin,2020-21,31,BRK,NBA,PF,26,10,560,93,189,0.492,31,81,0.383,62,108,0.574,0.574,43,55,0.782,28,93,121,63,18,13,30,69,260,0,
Blake Griffin,2021-22,32,BRK,NBA,C,56,24,958,133,313,0.425,38,145,0.262,95,168,0.565,0.486,55,76,0.724,60,168,228,105,27,14,31,95,359,0,
Blake Griffin,2022-23,33,BOS,NBA,C,41,16,569,63,130,0.485,23,66,0.348,40,64,0.625,0.573,21,32,0.656,47,108,155,61,14,9,22,75,170,0,
Hakeem Olajuwon ,1984-85,22,HOU,NBA,C,82,82,2914,677,1258,0.538,0,0,,677,1258,0.538,0.538,338,551,0.613,440,534,974,111,99,220,234,344,1692,0,"MVP-12,ROY-2,AS,DEF2"
Hakeem Olajuwon ,1985-86,23,HOU,NBA,C,68,68,2467,625,1188,0.526,0,0,,625,1188,0.526,0.526,347,538,0.645,333,448,781,137,134,231,195,271,1597,1,"MVP-4,AS,NBA2"
Hakeem Olajuwon ,1986-87,24,HOU,NBA,C,75,75,2760,677,1332,0.508,1,5,0.2,676,1327,0.509,0.509,400,570,0.702,315,543,858,220,140,254,228,294,1755,1,"MVP-7,AS,NBA1,DEF1"
Hakeem Olajuwon ,1987-88,25,HOU,NBA,C,79,79,2825,712,1385,0.514,0,4,0,712,1381,0.516,0.514,381,548,0.695,302,657,959,163,162,214,243,324,1805,1,"MVP-7,DPOY-3,AS,NBA1,DEF1"
Hakeem Olajuwon ,1988-89,26,HOU,NBA,C,82,82,3024,790,1556,0.508,0,10,0,790,1546,0.511,0.508,454,652,0.696,338,767,1105,149,213,282,275,329,2034,0,"MVP-5,DPOY-2,AS,NBA1"
Hakeem Olajuwon ,1989-90,27,HOU,NBA,C,82,82,3124,806,1609,0.501,1,6,0.167,805,1603,0.502,0.501,382,536,0.713,299,850,1149,234,174,376,316,314,1995,4,"MVP-7,DPOY-2,AS,NBA2,DEF1"
Hakeem Olajuwon ,1990-91,28,HOU,NBA,C,56,50,2062,487,959,0.508,0,4,0,487,955,0.51,0.508,213,277,0.769,219,551,770,131,121,221,174,221,1187,1,"MVP-18,DPOY-5,NBA3,DEF2"
Hakeem Olajuwon ,1991-92,29,HOU,NBA,C,70,69,2636,591,1177,0.502,0,1,0,591,1176,0.503,0.502,328,428,0.766,246,599,845,157,127,304,187,263,1510,0,"DPOY-6,AS"
Hakeem Olajuwon ,1992-93,30,HOU,NBA,C,82,82,3242,848,1603,0.529,0,8,0,848,1595,0.532,0.529,444,570,0.779,283,785,1068,291,150,342,262,305,2140,0,"MVP-2,DPOY-1,AS,NBA1,DEF1"
Hakeem Olajuwon ,1993-94,31,HOU,NBA,C,80,80,3277,894,1694,0.528,8,19,0.421,886,1675,0.529,0.53,388,542,0.716,229,726,955,287,128,297,271,289,2184,1,"MVP-1,DPOY-1,AS,NBA1,DEF1"
Hakeem Olajuwon ,1994-95,32,HOU,NBA,C,72,72,2853,798,1545,0.517,3,16,0.188,795,1529,0.52,0.517,406,537,0.756,172,603,775,255,133,242,237,250,2005,1,"MVP-5,DPOY-3,AS,NBA3"
Hakeem Olajuwon ,1995-96,33,HOU,NBA,C,72,72,2797,768,1494,0.514,3,14,0.214,765,1480,0.517,0.515,397,548,0.724,176,608,784,257,113,207,247,242,1936,3,"MVP-4,DPOY-5,AS,NBA2,DEF2"
Hakeem Olajuwon ,1996-97,34,HOU,NBA,C,78,78,2852,727,1426,0.51,5,16,0.313,722,1410,0.512,0.512,351,446,0.787,173,543,716,236,117,173,281,249,1810,1,"MVP-7,AS,NBA1,DEF2"
Hakeem Olajuwon ,1997-98,35,HOU,NBA,C,47,45,1633,306,633,0.483,0,3,0,306,630,0.486,0.483,160,212,0.755,116,344,460,143,84,96,126,152,772,0,
Hakeem Olajuwon ,1998-99,36,HOU,NBA,C,50,50,1784,373,725,0.514,4,13,0.308,369,712,0.518,0.517,195,272,0.717,106,372,478,88,82,123,139,160,945,0,"MVP-13,DPOY-7,NBA3"
Hakeem Olajuwon ,1999-00,37,HOU,NBA,C,44,28,1049,193,421,0.458,0,2,0,193,419,0.461,0.458,69,112,0.616,65,209,274,61,41,70,73,88,455,0,
Hakeem Olajuwon ,2000-01,38,HOU,NBA,C,58,55,1545,283,568,0.498,0,1,0,283,567,0.499,0.498,123,198,0.621,124,307,431,72,70,88,81,141,689,0,
Hakeem Olajuwon ,2001-02,39,TOR,NBA,C,61,37,1378,194,418,0.464,0,2,0,194,416,0.466,0.464,47,84,0.56,98,268,366,66,74,90,98,147,435,0,
